ID,CONTRATO,COD_CANONICO,DESCRICAO_ORIGINAL,NOMENCLATURA_ORIGINAL,FAMILIA,EVENTO,GRANULARIDADE,CRITICIDADE,RESPONSAVEL,COMPETENCIA_ARQUIVO,COMPETENCIA_CORRIGIDA,PRAZO_ORIGINAL,PRAZO_ANCORA,PRAZO_TIPO_DIA,PRAZO_LIMITE,REPOSITORIO,PASTA,PERIODICIDADE,PREVISAO_ARQUIVO,FUNDAMENTO (preencher),DIVERGENCIAS
L011,BNB,CER.CND_FALENCIA,Certidão Negativa de Distribuição (Ações de Falências e Recuperações Judiciais),CND_FALENCIA_E_RECUP_JUD,Certidões e regularidade,Mensal,Contrato,Bloqueante,FINANCEIRO,Mês da Competência,Válida na data do faturamento,SOB FATURAMENTO,Ateste do cliente,Corrido,0,CLOUD,CERTIDÕES,Mensalmente,Edital,,
L012,BNB,FGT.GUIA,Guia FGTS,GFD_GUIA_DO_FGTS,FGTS,Mensal,Contrato,Bloqueante,DP,Mês da Competência,Competência anterior (M-1),ATÉ DIA 20,Início da competência,Corrido,20,CLOUD,FGTS,Mensalmente,Edital,,"COMPETÊNCIA divergente: consta ""Mês da Competência"", esperado ""Competência Anterior"""
L013,BNB,FGT.COMPROVANTE_PG,COMPROVANTE DE PAGAMENTO FGTS,COMPROVANTE_PG_FGTS,FGTS,Mensal,Contrato,Bloqueante,FINANCEIRO,Competência Anterior,Competência anterior (M-1),ATÉ DIA 21,Início da competência,Corrido,21,CLOUD,FGTS,Mensalmente,Edital,,
L014,BNB,INS.DCTFWEB,DCTFWEB Completa DARF,DCTFWEB_COMPLETA,INSS e tributos,Mensal,Contrato,Bloqueante,DP,Competência Anterior,Competência anterior (M-1),ATÉ DIA 20,Início da competência,Corrido,20,CLOUD,INSS,Mensalmente,Edital,,
L015,BNB,INS.COMPROVANTE_PG,Recolhimento e Comprovante de Pagamento,COMPROVANTE_PG_INSS,INSS e tributos,Mensal,Contrato,Bloqueante,FINANCEIRO,Competência Anterior,Competência anterior (M-1),ENTRE DIA 20 A 30,Início da competência,Corrido,30,CLOUD,INSS,Mensalmente,Edital,,LINHA COMPOSTA: descreve mais de um artefato
L016,BNB,FOL.FOPAG,Folha de Pagamento,FOPAG,Folha,Mensal,Contrato,Bloqueante,DP,Mês da Competência,Mês da competência,ATÉ O 5º DIA ÚTIL,Início da competência,Útil,5,CLOUD,FOLHA,Mensalmente,Edital,,
L017,BNB,FOL.COMPROVANTE_PG,Comprovante da Folha de Pagamento,COMPROVANTE_PG_FOLHA,Folha,Mensal,Contrato,Bloqueante,FINANCEIRO,Mês da Competência,Mês da competência,5º DIA UTIL,Início da competência,Útil,5,CLOUD,FOLHA,Mensalmente,Edital,,
L018,BNB,FOL.CONTRACHEQUE,Contra Cheque,CONTRACHEQUES,Folha,Mensal,Profissional,Bloqueante,DP,Mês da Competência,Mês da competência,ATÉ DIA 07,Início da competência,Corrido,7,CLOUD,FOLHA,Mensalmente,Edital,,
L019,CEF,OPE.RELACAO_ALOCADOS,RELAÇÃO DOS EMPREGADOS ALOCADOS NO CONTRATO PARA PRESTAÇÃO DE SERVIÇOS (PLANILHA CLT - MODELO ENCAMINHADO),RELAÇÃO_DOS_EMPREGADOS_ALOCADOS_NO_CONTRATO_PARA_PRESTAÇÃO_DE_SERVIÇOS,Operação e medição,Mensal,Contrato,Bloqueante,OPERAÇÃO,Mês da Competência,Mês da competência,DIA 25 DO MÊS,Início da competência,Corrido,25,JIRA,,Mensalmente,Até último dia útil,,
L020,CEF,OPE.EMPENHO,Empenho,EMPENHO,Operação e medição,Mensal,Contrato,Bloqueante,OPERAÇÃO,Mês da Competência,Mês da competência,DIA 25 DO MÊS,Início da competência,Corrido,25,JIRA,,Mensalmente,Até último dia útil,,
L021,CEF,FIS.CARTA_ENTREGA_NF,Carta de Entrega da Nota Fiscal,CARTA_NOTA_FISCAL,Fiscal,Mensal,Contrato,Bloqueante,FINANCEIRO,Mês da Competência,Mês da competência,SOB FATURAMENTO,Ateste do cliente,Corrido,0,CLOUD/JIRA,OPERAÇÃO,Mensalmente,Edital,,
L022,CEF,FIS.NOTA_FISCAL,Nota Fiscal,NOTA _FISCAL,Fiscal,Mensal,Contrato,Bloqueante,FINANCEIRO,Mês da Competência,Mês da competência,SOB FATURAMENTO,Ateste do cliente,Corrido,0,CLOUD/JIRA,OPERAÇÃO,Mensalmente,Edital,,NOMENCLATURA com espaço/caractere irregular
L023,CEF,FGT.GUIA,Guia FGTS,GFD-GUIA_DO_FGTS,FGTS,Mensal,Contrato,Bloqueante,DP,Competência Anterior,Competência anterior (M-1),ATÉ DIA 20,Início da competência,Corrido,20,CLOUD,FGTS,Mensalmente,Edital,,
L024,CEF,FGT.COMPROVANTE_PG,COMPROVANTE DE PAGAMENTO FGTS,COMPROVANTE_PG_FGTS,FGTS,Mensal,Contrato,Bloqueante,FINANCEIRO,Competência Anterior,Competência anterior (M-1),DIA 21,Início da competência,Corrido,21,CLOUD,FGTS,Mensalmente,Edital,,
L025,CEF,FGT.RELATORIO_DIGITAL,FGTS DIGITAL - RELATÓRIOS,FGTS-DETALHE_DA_GUIA,FGTS,Mensal,Profissional,Bloqueante,DP,Competência Anterior,Competência anterior (M-1),ATÉ DIA 20,Início da competência,Corrido,20,CLOUD,PARCELAMENTOS,Mensalmente,Edital,,PASTA incompatível com a família do documento
L026,CEF,INS.PARCELAMENTO_TABELA,TABELA RESUMO DOS PARCELAMENTOS INSS EM ANDAMENTO,TABELA_RESUMO_PARCELAMENTOS,INSS e tributos,Mensal,Contrato,Não bloqueante,FINANCEIRO,Competência Anterior,Competência anterior (M-1),ENTRE DIA 30 A 31,Início da competência,Corrido,31,CLOUD,PARCELAMENTOS,Mensalmente,Edital,,
L027,CEF,INS.PARCELAMENTO_COMPROV,DARFS E COMPROVANTES DOS PARCELAMENTOS INSS EM ANDAMENTO,COMPROVANTES_PARCELAMENTOS,INSS e tributos,Mensal,Contrato,Bloqueante,FINANCEIRO,Competência Anterior,Competência anterior (M-1),ENTRE DIA 30 A 31,Início da competência,Corrido,31,CLOUD,FGTS,Mensalmente,Edital,,LINHA COMPOSTA: descreve mais de um artefato | PASTA incompatível com a família do documento
L028,CEF,FER.AVISO,Aviso de férias,AVISO_DE_FERIAS,Férias,Férias,Profissional,Bloqueante,DP,Mês da Competência,Data do evento,ATÉ DIA 07,Início da competência,Corrido,7,CLOUD,FÉRIAS,,Edital,,PERIODICIDADE em branco
L029,CEF,FER.RECIBO,Recibo de férias,RECIBO_DE_FÉRIAS,Férias,Férias,Profissional,Bloqueante,DP,Mês da Competência,Data do evento,ATÉ DIA 07,Início da competência,Corrido,7,CLOUD,FÉRIAS,,,,PERIODICIDADE em branco | PREVISÃO/fundamento em branco
L030,CEF,FER.COMPROVANTE_PG,FÉRIAS - COMPROVANTE DE PAGAMENTO,COMPROVANTE_PG_FÉRIAS,Férias,Férias,Profissional,Bloqueante,FINANCEIRO,Mês da Competência,Data do evento,1º DIA ÚTIL,Início da competência,Útil,1,CLOUD,FÉRIAS,Mensalmente,Edital,,
L031,CEF,BEN.RELACAO_VT,VALE TRANSPORTE E COMPROVANTE DE PAGAMENTO OU TERMO DE NÃO ADESÃO,RELAÇÃO_DE_VT,Benefícios,Mensal,Profissional,Bloqueante,DP,Mês da Competência,Mês da competência,ATÉ DIA 03,Início da competência,Corrido,3,CLOUD,TRANSPORTE,Mensalmente,Edital,,LINHA COMPOSTA: descreve mais de um artefato
L032,CEF,BEN.TERMO_NAO_ADESAO_VT,TERMO DE NÃO ADESÃO VT,TERMO_DE_ADESÃO_VT,Benefícios,Eventual,Profissional,Não bloqueante,DP,Mês da Competência,Data do evento,ATÉ DIA 07,Início da competência,Corrido,7,CLOUD,TRANSPORTE,Mensalmente,,,"PREVISÃO/fundamento em branco | SEMÂNTICA INVERTIDA: código diz ""adesão"", documento é ""NÃO adesão"""
L033,CEF,BEN.COMPROVANTE_VT,,COMPROVANTE_PG_VT,Benefícios,Mensal,Contrato,Bloqueante,FINANCEIRO,,Mês da competência,ATÉ DIA 05,Início da competência,Corrido,5,CLOUD,TRANSPORTE,,,,LINHA ÓRFÃ: sem contrato de origem | COMPETÊNCIA em branco | PERIODICIDADE em branco | PREVISÃO/fundamento em branco | DESCRIÇÃO do documento em branco
L034,CEF,RES.TRCT,Termo de Rescisão,TRCT,Rescisão,Rescisão,Profissional,Bloqueante,DP,Mês da Competência,Data do evento,ATÉ DIA 07,Início da competência,Corrido,7,CLOUD,RESCISÃO,Mensalmente,Edital,,
L035,CEF,RES.ASO_DEMISSIONAL,ASO - Demissional,ASO_DEMISSIONAL,Rescisão,Rescisão,Profissional,Bloqueante,DP,Mês da Competência,Data do evento,ATÉ DIA 07,Início da competência,Corrido,7,CLOUD,RESCISÃO,,,,PERIODICIDADE em branco | PREVISÃO/fundamento em branco
L036,CEF,RES.COMPROVANTE_PG,Comprovante de pagamento TRCT,COMPROVANTE_PG_RESCISÃO,Rescisão,Rescisão,Profissional,Bloqueante,FINANCEIRO,Mês da Competência,Data do evento,10º dia útil,Início da competência,Útil,10,CLOUD,RESCISÃO,,,,DUPLICIDADE no mesmo contrato/evento | PERIODICIDADE em branco | PREVISÃO/fundamento em branco
L037,CEF,RES.AVISO_PREVIO,Aviso previo,AVISO_PREVIO,Rescisão,Rescisão,Profissional,Bloqueante,DP,Mês da Competência,Data do evento,ATÉ DIA 07,Início da competência,Corrido,7,CLOUD,RESCISÃO,,,,PERIODICIDADE em branco | PREVISÃO/fundamento em branco
L038,CEF,FGT.EXTRATO,Extrato FGTS,EXTRATO_FGTS,FGTS,Mensal,Profissional,Bloqueante,DP,Competência Anterior,Competência anterior (M-1),ATÉ DIA 25,Início da competência,Corrido,25,CLOUD,FGTS,,,,PERIODICIDADE em branco | PREVISÃO/fundamento em branco
L039,CEF,FGT.GUIA_RESCISORIA,Guia FGTS Rescisão,GUIA_GFD,FGTS,Rescisão,Profissional,Bloqueante,DP,Mês da Competência,Data do evento,ATÉ DIA 07,Início da competência,Corrido,7,CLOUD,FGTS,,,,PERIODICIDADE em branco | PREVISÃO/fundamento em branco
L040,CEF,FGT.COMPROVANTE_PG_GRRF,Comprovante de pagamento GRRF,COMPROVANTE_PG_GRRF,FGTS,Rescisão,Profissional,Bloqueante,FINANCEIRO,Mês da Competência,Data do evento,10º dia útil,Início da competência,Útil,10,CLOUD,FGTS,,,,PERIODICIDADE em branco | PREVISÃO/fundamento em branco
L041,CEF,RES.COMPROVANTE_PG,DOCUMENTAÇÃO DE RESCISÃO - COMPROVANTE DE PAGAMENTO,COMPROVANTE_PG_RECSISÃO,Rescisão,Rescisão,Profissional,Bloqueante,FINANCEIRO,Mês da Competência,Data do evento,1º DIA ÚTIL,Início da competência,Útil,1,CLOUD,OPERAÇÃO,Mensalmente,Edital,,DUPLICIDADE no mesmo contrato/evento | PASTA incompatível com a família do documento
L042,CEF,FOL.FOPAG,FOLHA DE PAGAMENTO,FOPAG,Folha,Mensal,Contrato,Bloqueante,DP,Mês da Competência,Mês da competência,ATÉ O 5º DIA ÚTIL,Início da competência,Útil,5,CLOUD,FOLHA,Mensalmente,Edital,,
L043,CEF,CER.CND_RFB,CERTIDÃO NEGATIVA DE DÉBITOS RELATIVOS A TRIBUTOS FEDERAIS E À DÍVIDA ATIVA DAI UNIÃO OU CERTIDÃO POSITIVA COM EFEITOS DE NEGATIVA,CND_RFB,Certidões e regularidade,Mensal,Contrato,Bloqueante,FINANCEIRO,Mês da Competência,Válida na data do faturamento,SOB FATURAMENTO,Ateste do cliente,Corrido,0,CLOUD,CERTIDÕES,Mensalmente,Edital,,
L044,CEF,DEC.FOPAG_13,DOCUMENTAÇÃO 13º SALÁRIO,FOPAG_13º,13º salário,13º,Contrato,Bloqueante,DP,Mês da Competência,Mês da competência,SOB FATURAMENTO,Ateste do cliente,Corrido,0,CLOUD,13º,Mensalmente,Edital,,
L045,CEF,CER.CRF_FGTS,CERTIFICADO DE REGULARIDADE DO FGTS - CRF,CRF_FGTS,Certidões e regularidade,Mensal,Contrato,Bloqueante,FINANCEIRO,Mês da Competência,Válida na data do faturamento,SOB FATURAMENTO,Ateste do cliente,Corrido,0,CLOUD,CERTIDÕES,Mensalmente,Edital,,
L046,CEF,CER.CNDT,Certidão   Negativa de   Débitos   Trabalhistas – CNDT,CNDT,Certidões e regularidade,Mensal,Contrato,Bloqueante,FINANCEIRO,Mês da Competência,Válida na data do faturamento,SOB FATURAMENTO,Ateste do cliente,Corrido,0,CLOUD,CERTIDÕES,Mensalmente,Edital,,
L047,CEF,CER.CND_ESTADUAL,CERTIDÃO DE REGULARIDADE FISCAL COM A FAZENDA ESTADUAL/DISTRITAL,CND_GDF,Certidões e regularidade,Mensal,Contrato,Bloqueante,FINANCEIRO,Mês da Competência,Válida na data do faturamento,SOB FATURAMENTO,Ateste do cliente,Corrido,0,CLOUD,CERTIDÕES,Mensalmente,Edital,,
L048,CEF,BEN.RELACAO_VA_VR,VALE ALIMENTAÇÃO E COMPROVANTE DE PAGAMENTO,RELAÇÃO_DE_VA_VR,Benefícios,Mensal,Profissional,Bloqueante,DP,Mês da Competência,Mês da competência,ATÉ DIA 03,Início da competência,Corrido,3,CLOUD,ALIMENTAÇÃO,Mensalmente,Edital,,LINHA COMPOSTA: descreve mais de um artefato
L049,CEF,BEN.COMPROVANTE_VA_VR,,COMPROVANTE_PG_VA_VR,Benefícios,Mensal,Contrato,Bloqueante,FINANCEIRO,,Mês da competência,ATÉ DIA 05,Início da competência,Corrido,5,CLOUD,ALIMENTAÇÃO,,,,LINHA ÓRFÃ: sem contrato de origem | COMPETÊNCIA em branco | PERIODICIDADE em branco | PREVISÃO/fundamento em branco | DESCRIÇÃO do documento em branco
L050,CEF,INS.DCTFWEB,"CÓPIA DA DCTFWEB COMPLETO, RESPECTIVO DARF DE RECOLHIMENTO E COMPROVANTE DE PAGAMENTO:",DCTFWEB_COMPLETA,INSS e tributos,Mensal,Contrato,Bloqueante,DP,Competência Anterior,Competência anterior (M-1),ATÉ DIA 20,Início da competência,Corrido,20,CLOUD,INSS,Mensalmente,Edital,,LINHA COMPOSTA: descreve mais de um artefato
L051,CEF,INS.COMPROVANTE_PG,COMPROVANTE DE PAGAMENTO INSS,COMPROVANTE_PG_INSS,INSS e tributos,Mensal,Contrato,Bloqueante,FINANCEIRO,Competência Anterior,Competência anterior (M-1),ENTRE DIA 20 A 30,Início da competência,Corrido,30,CLOUD,INSS,,,,PREVISÃO/fundamento em branco
L052,CEF,FOL.COMPROVANTE_PG,CÓPIA DO COMPROVANTE DE DEPÓSITO EM CONTA BANCÁRIA DOS EMPREGADOS QUE CONSTAM NA PLANILHA CLT,COMPROVANTE_PG_FOLHA,Folha,Mensal,Contrato,Bloqueante,FINANCEIRO,Mês da Competência,Mês da competência,5º DIA UTIL,Início da competência,Útil,5,CLOUD,FOLHA,Mensalmente,Edital,,
L053,DOCAS,OPE.RELATORIO_MEDICAO,Relatório de Faturamento,RELATÓRIO_DE_FATURAMENTO,Operação e medição,Mensal,Contrato,Bloqueante,OPERAÇÃO,Mês da Competência,Mês da competência,SOB FATURAMENTO,Ateste do cliente,Corrido,0,JIRA,,Mensalmente,Até o 5° dia útil,,DUPLICIDADE no mesmo contrato/evento
L054,DOCAS,OPE.AUTORIZACAO_FATURAMENTO,Autorização de Faturamento,AUTORIZAÇÃO_DE_FATURAMENTO,Operação e medição,Mensal,Contrato,Bloqueante,OPERAÇÃO,Mês da Competência,Mês da competência,SOB FATURAMENTO,Ateste do cliente,Corrido,0,JIRA,,Mensalmente,Até o 5° dia útil,,
L055,DOCAS,OPE.RELATORIO_MEDICAO,Relatórios de atividades desenvolvidas no período por cada um dos postos de trabalho,RELATÓRIO_DE_ATIVIDADES_DESENVOLVIDAS_POR _CADA_UM_DOS_POSTOS_DE_TRABALHO,Operação e medição,Mensal,Contrato,Bloqueante,OPERAÇÃO,Mês da Competência,Mês da competência,SOB FATURAMENTO,Ateste do cliente,Corrido,0,JIRA,,Mensalmente,Até o 5° dia útil,,DUPLICIDADE no mesmo contrato/evento | NOMENCLATURA com espaço/caractere irregular
L056,DOCAS,OPE.DOC_TECNICA,Documentação técnica dos sistemas desenvolvidos,DOCUMENTAÇÃO_TÉCNICA_DOS_SISTEMAS_DESENVOLVIDOS,Operação e medição,Mensal,Contrato,Não bloqueante,OPERAÇÃO,Mês da Competência,Mês da competência,SOB FATURAMENTO,Ateste do cliente,Corrido,0,JIRA,,Mensalmente,Até o 5° dia útil,,
L057,DOCAS,CER.CND_RFB,"Regularidade   fiscal   perante   a   Fazenda   Nacional,   expedida conjuntamente  pela  Secretaria  da  Receita  Federal  do  Brasil – RFB",CND_RFB,Certidões e regularidade,Mensal,Contrato,Bloqueante,FINANCEIRO,Mês da Competência,Válida na data do faturamento,SOB FATURAMENTO,Ateste do cliente,Corrido,0,CLOUD,CERTIDÕES,Mensalmente,Edital,,
L058,DOCAS,CER.CRF_FGTS,Certidão  de  regularidade  junto FGTS,CRF_FGTS,Certidões e regularidade,Mensal,Contrato,Bloqueante,FINANCEIRO,Mês da Competência,Válida na data do faturamento,SOB FATURAMENTO,Ateste do cliente,Corrido,0,CLOUD,CERTIDÕES,Mensalmente,Edital,,DUPLICIDADE no mesmo contrato/evento
L059,DOCAS,CER.CNDT,Certidão   Negativa de   Débitos   Trabalhistas – CNDT,CNDT,Certidões e regularidade,Mensal,Contrato,Bloqueante,FINANCEIRO,Mês da Competência,Válida na data do faturamento,SOB FATURAMENTO,Ateste do cliente,Corrido,0,CLOUD,CERTIDÕES,Mensalmente,Edital,,
L060,DOCAS,CER.CND_CIVEL_CRIMINAL,Certidão Negativa de Distribuição (Especial Ações Cíveis e Criminais),CND_CIVEL_E_CRIMINAL,Certidões e regularidade,Mensal,Contrato,Bloqueante,FINANCEIRO,Mês da Competência,Válida na data do faturamento,SOB FATURAMENTO,Ateste do cliente,Corrido,0,CLOUD,CERTIDÕES,Mensalmente,Edital,,
L061,DOCAS,CER.CND_FALENCIA,Certidão Negativa de Distribuição (Ações de Falências e Recuperações Judiciais),CND_FALENCIA_E_RECUP_JUD,Certidões e regularidade,Mensal,Contrato,Bloqueante,FINANCEIRO,Mês da Competência,Válida na data do faturamento,SOB FATURAMENTO,Ateste do cliente,Corrido,0,CLOUD,CERTIDÕES,Mensalmente,Edital,,
L062,DOCAS,CER.CND_ESTADUAL,Certidão Positiva de Débitos Com Efeito de Negativa - GDF,CND_GDF,Certidões e regularidade,Mensal,Contrato,Bloqueante,FINANCEIRO,Mês da Competência,Válida na data do faturamento,SOB FATURAMENTO,Ateste do cliente,Corrido,0,CLOUD,CERTIDÕES,Mensalmente,Edital,,
L063,DOCAS,CER.SICAF,Sistema de Cadastramento Unificado de Fornecedores - SICAF,SICAF,Certidões e regularidade,Mensal,Contrato,Bloqueante,FINANCEIRO,Mês da Competência,Válida na data do faturamento,SOB FATURAMENTO,Ateste do cliente,Corrido,0,CLOUD,CERTIDÕES,Mensalmente,Edital,,
L064,DOCAS,CER.CRF_FGTS,Certificado de Regularidade do FGTS - CRF,CRF_FGTS,Certidões e regularidade,Mensal,Contrato,Bloqueante,FINANCEIRO,Mês da Competência,Válida na data do faturamento,SOB FATURAMENTO,Ateste do cliente,Corrido,0,CLOUD,CERTIDÕES,Mensalmente,Edital,,DUPLICIDADE no mesmo contrato/evento
L065,DOCAS,FOL.FOPAG,Folha De Pagamento,FOPAG,Folha,Mensal,Contrato,Bloqueante,DP,Mês da Competência,Mês da competência,ATÉ O 5º DIA ÚTIL,Início da competência,Útil,5,CLOUD,FOLHA,Mensalmente,Edital,,
L066,DOCAS,FOL.COMPROVANTE_PG,Comprovante da Folha de Pagamento,COMPROVANTE_PG_FOLHA,Folha,Mensal,Contrato,Bloqueante,FINANCEIRO,Mês da Competência,Mês da competência,5º DIA UTIL,Início da competência,Útil,5,CLOUD,FOLHA,Mensalmente,Edital,,
L067,DOCAS,FOL.CONTRACHEQUE,Contra Cheque,CONTRACHEQUES,Folha,Mensal,Profissional,Bloqueante,DP,Mês da Competência,Mês da competência,ATÉ DIA 07,Início da competência,Corrido,7,CLOUD,FOLHA,Mensalmente,Edital,,
L068,DOCAS,BEN.RELACAO_VA_VR,Vale Alimentação,RELAÇÃO_DE_VA_VR,Benefícios,Mensal,Profissional,Bloqueante,DP,Mês da Competência,Mês da competência,ATÉ DIA 03,Início da competência,Corrido,3,CLOUD,ALIMENTAÇÃO,Mensalmente,Edital,,
L069,DOCAS,BEN.RELACAO_PLANO_SAUDE,Plano De Saúde,RELAÇÃO_PLANO_DE_SAÚDE,Benefícios,Mensal,Profissional,Bloqueante,DP,Mês da Competência,Mês da competência,ATÉ DIA 03,Início da competência,Corrido,3,CLOUD,PLANO DE SAÚDE,Mensalmente,Edital,,
L070,DOCAS,INS.DARF,DARF - DCTFWEB,DCTFWEB_DARF,INSS e tributos,Mensal,Contrato,Bloqueante,DP,Competência Anterior,Competência anterior (M-1),ATÉ DIA 20,Início da competência,Corrido,20,CLOUD,INSS,Mensalmente,Edital,,
L071,DOCAS,INS.COMPROVANTE_PG,COMPROVANTE DE PAGAMENTO INSS,COMPROVANTE_PG_INSS,INSS e tributos,Mensal,Contrato,Bloqueante,FINANCEIRO,Competência Anterior,Competência anterior (M-1),ENTRE DIA 20 A 30,Início da competência,Corrido,30,CLOUD,INSS,,,,PREVISÃO/fundamento em branco
L072,DOCAS,FGT.GUIA,Guia FGTS,GFD_GUIA_DO_FGTS,FGTS,Mensal,Contrato,Bloqueante,DP,Mês da Competência,Competência anterior (M-1),ATÉ DIA 20,Início da competência,Corrido,20,CLOUD,FGTS,Mensalmente,Edital,,"COMPETÊNCIA divergente: consta ""Mês da Competência"", esperado ""Competência Anterior"""
L073,DOCAS,FGT.COMPROVANTE_PG,COMPROVANTE DE PAGAMENTO FGTS,COMPROVANTE_PG_FGTS,FGTS,Mensal,Contrato,Bloqueante,FINANCEIRO,Competência Anterior,Competência anterior (M-1),DIA 21,Início da competência,Corrido,21,CLOUD,FGTS,Mensalmente,Edital,,
L074,DOCAS,FIS.NOTA_FISCAL,Nota Fiscal,NOTA _FISCAL,Fiscal,Mensal,Contrato,Bloqueante,FINANCEIRO,Mês da Competência,Mês da competência,SOB FATURAMENTO,Ateste do cliente,Corrido,0,CLOUD/JIRA,OPERAÇÃO,Mensalmente,Edital,,NOMENCLATURA com espaço/caractere irregular
L075,DOCAS,FIS.CARTA_ENTREGA_NF,Carta de Entrega da Nota Fiscal,CARTA_NOTA_FISCAL,Fiscal,Mensal,Contrato,Bloqueante,FINANCEIRO,Mês da Competência,Mês da competência,SOB FATURAMENTO,Ateste do cliente,Corrido,0,CLOUD/JIRA,OPERAÇÃO,Mensalmente,Edital,,
L076,DOCAS,OPE.FOLHA_PONTO,Ponto Eletrônico,FOLHAS_DE_PONTO,Operação e medição,Mensal,Profissional,Bloqueante,DP,Mês da Competência,Mês da competência,ATÉ DIA 03,Início da competência,Corrido,3,CLOUD,PONTO ELETRÔNICO,Mensalmente,Edital,,
L077,SEFAZ RS,OPE.ATESTE_RECEBIMENTO,Termo de Recebimento,TERMO_DE_RECEBIMENTO,Operação e medição,Mensal,Contrato,Bloqueante,OPERAÇÃO,Mês da Competência,Mês da competência,SOB FATURAMENTO,Ateste do cliente,Corrido,0,JIRA,,Mensalmente,Após o dia 10°,,
L078,SEFAZ RS,FIS.NOTA_FISCAL,Nota Fiscal,NOTA_FISCAL,Fiscal,Mensal,Contrato,Bloqueante,FINANCEIRO,Mês da Competência,Mês da competência,SOB FATURAMENTO,Ateste do cliente,Corrido,0,CLOUD/JIRA,OPERAÇÃO,Mensalmente,Edital,,
